:START_ID,:END_ID,relation,:TYPE
herb_id_160,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_161,Dosage-Administration_id_55,has_Dosage-Administration,Dosage-Administration
herb_id_162,Dosage-Administration_id_132,has_Dosage-Administration,Dosage-Administration
herb_id_163,Dosage-Administration_id_198,has_Dosage-Administration,Dosage-Administration
herb_id_164,Dosage-Administration_id_291,has_Dosage-Administration,Dosage-Administration
herb_id_165,Dosage-Administration_id_305,has_Dosage-Administration,Dosage-Administration
herb_id_166,Dosage-Administration_id_89,has_Dosage-Administration,Dosage-Administration
herb_id_167,Dosage-Administration_id_186,has_Dosage-Administration,Dosage-Administration
herb_id_168,Dosage-Administration_id_166,has_Dosage-Administration,Dosage-Administration
herb_id_169,Dosage-Administration_id_161,has_Dosage-Administration,Dosage-Administration
herb_id_170,Dosage-Administration_id_79,has_Dosage-Administration,Dosage-Administration
herb_id_171,Dosage-Administration_id_145,has_Dosage-Administration,Dosage-Administration
herb_id_172,Dosage-Administration_id_344,has_Dosage-Administration,Dosage-Administration
herb_id_173,Dosage-Administration_id_114,has_Dosage-Administration,Dosage-Administration
herb_id_174,Dosage-Administration_id_313,has_Dosage-Administration,Dosage-Administration
herb_id_175,Dosage-Administration_id_355,has_Dosage-Administration,Dosage-Administration
herb_id_176,Dosage-Administration_id_70,has_Dosage-Administration,Dosage-Administration
herb_id_177,Dosage-Administration_id_61,has_Dosage-Administration,Dosage-Administration
herb_id_178,Dosage-Administration_id_197,has_Dosage-Administration,Dosage-Administration
herb_id_179,Dosage-Administration_id_61,has_Dosage-Administration,Dosage-Administration
herb_id_180,Dosage-Administration_id_6,has_Dosage-Administration,Dosage-Administration
herb_id_181,Dosage-Administration_id_96,has_Dosage-Administration,Dosage-Administration
herb_id_182,Dosage-Administration_id_99,has_Dosage-Administration,Dosage-Administration
herb_id_183,Dosage-Administration_id_400,has_Dosage-Administration,Dosage-Administration
herb_id_184,Dosage-Administration_id_257,has_Dosage-Administration,Dosage-Administration
herb_id_185,Dosage-Administration_id_118,has_Dosage-Administration,Dosage-Administration
herb_id_186,Dosage-Administration_id_390,has_Dosage-Administration,Dosage-Administration
herb_id_187,Dosage-Administration_id_99,has_Dosage-Administration,Dosage-Administration
herb_id_188,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_189,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_190,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_191,Dosage-Administration_id_350,has_Dosage-Administration,Dosage-Administration
herb_id_192,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_193,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_194,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_195,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_196,Dosage-Administration_id_230,has_Dosage-Administration,Dosage-Administration
herb_id_197,Dosage-Administration_id_101,has_Dosage-Administration,Dosage-Administration
herb_id_198,Dosage-Administration_id_331,has_Dosage-Administration,Dosage-Administration
herb_id_199,Dosage-Administration_id_182,has_Dosage-Administration,Dosage-Administration
herb_id_200,Dosage-Administration_id_114,has_Dosage-Administration,Dosage-Administration
herb_id_201,Dosage-Administration_id_164,has_Dosage-Administration,Dosage-Administration
herb_id_202,Dosage-Administration_id_283,has_Dosage-Administration,Dosage-Administration
herb_id_203,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_204,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_205,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_206,Dosage-Administration_id_118,has_Dosage-Administration,Dosage-Administration
herb_id_207,Dosage-Administration_id_278,has_Dosage-Administration,Dosage-Administration
herb_id_208,Dosage-Administration_id_264,has_Dosage-Administration,Dosage-Administration
herb_id_209,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_210,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_211,Dosage-Administration_id_352,has_Dosage-Administration,Dosage-Administration
herb_id_212,Dosage-Administration_id_42,has_Dosage-Administration,Dosage-Administration
herb_id_213,Dosage-Administration_id_284,has_Dosage-Administration,Dosage-Administration
herb_id_214,Dosage-Administration_id_199,has_Dosage-Administration,Dosage-Administration
herb_id_215,Dosage-Administration_id_78,has_Dosage-Administration,Dosage-Administration
herb_id_216,Dosage-Administration_id_178,has_Dosage-Administration,Dosage-Administration
herb_id_217,Dosage-Administration_id_349,has_Dosage-Administration,Dosage-Administration
herb_id_218,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_219,Dosage-Administration_id_338,has_Dosage-Administration,Dosage-Administration
herb_id_220,Dosage-Administration_id_51,has_Dosage-Administration,Dosage-Administration
herb_id_221,Dosage-Administration_id_70,has_Dosage-Administration,Dosage-Administration
herb_id_222,Dosage-Administration_id_242,has_Dosage-Administration,Dosage-Administration
herb_id_223,Dosage-Administration_id_191,has_Dosage-Administration,Dosage-Administration
herb_id_224,Dosage-Administration_id_177,has_Dosage-Administration,Dosage-Administration
herb_id_225,Dosage-Administration_id_240,has_Dosage-Administration,Dosage-Administration
herb_id_226,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_227,Dosage-Administration_id_399,has_Dosage-Administration,Dosage-Administration
herb_id_228,Dosage-Administration_id_24,has_Dosage-Administration,Dosage-Administration
herb_id_229,Dosage-Administration_id_298,has_Dosage-Administration,Dosage-Administration
herb_id_230,Dosage-Administration_id_31,has_Dosage-Administration,Dosage-Administration
herb_id_231,Dosage-Administration_id_36,has_Dosage-Administration,Dosage-Administration
herb_id_232,Dosage-Administration_id_388,has_Dosage-Administration,Dosage-Administration
herb_id_233,Dosage-Administration_id_118,has_Dosage-Administration,Dosage-Administration
herb_id_234,Dosage-Administration_id_60,has_Dosage-Administration,Dosage-Administration
herb_id_235,Dosage-Administration_id_70,has_Dosage-Administration,Dosage-Administration
herb_id_236,Dosage-Administration_id_388,has_Dosage-Administration,Dosage-Administration
herb_id_237,Dosage-Administration_id_346,has_Dosage-Administration,Dosage-Administration
herb_id_238,Dosage-Administration_id_99,has_Dosage-Administration,Dosage-Administration
herb_id_239,Dosage-Administration_id_193,has_Dosage-Administration,Dosage-Administration
herb_id_240,Dosage-Administration_id_88,has_Dosage-Administration,Dosage-Administration
herb_id_241,Dosage-Administration_id_175,has_Dosage-Administration,Dosage-Administration
herb_id_242,Dosage-Administration_id_74,has_Dosage-Administration,Dosage-Administration
herb_id_244,Dosage-Administration_id_386,has_Dosage-Administration,Dosage-Administration
herb_id_245,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_246,Dosage-Administration_id_251,has_Dosage-Administration,Dosage-Administration
herb_id_247,Dosage-Administration_id_93,has_Dosage-Administration,Dosage-Administration
herb_id_248,Dosage-Administration_id_111,has_Dosage-Administration,Dosage-Administration
herb_id_249,Dosage-Administration_id_367,has_Dosage-Administration,Dosage-Administration
herb_id_250,Dosage-Administration_id_102,has_Dosage-Administration,Dosage-Administration
herb_id_251,Dosage-Administration_id_311,has_Dosage-Administration,Dosage-Administration
herb_id_252,Dosage-Administration_id_99,has_Dosage-Administration,Dosage-Administration
herb_id_253,Dosage-Administration_id_99,has_Dosage-Administration,Dosage-Administration
herb_id_254,Dosage-Administration_id_70,has_Dosage-Administration,Dosage-Administration
herb_id_255,Dosage-Administration_id_18,has_Dosage-Administration,Dosage-Administration
herb_id_256,Dosage-Administration_id_371,has_Dosage-Administration,Dosage-Administration
herb_id_257,Dosage-Administration_id_16,has_Dosage-Administration,Dosage-Administration
