:START_ID,:END_ID,relation,:TYPE
herb_id_350,concoct_id_4,has_concoct,concoct
herb_id_352,concoct_id_218,has_concoct,concoct
herb_id_353,concoct_id_125,has_concoct,concoct
herb_id_354,concoct_id_220,has_concoct,concoct
herb_id_355,concoct_id_162,has_concoct,concoct
herb_id_357,concoct_id_215,has_concoct,concoct
herb_id_359,concoct_id_65,has_concoct,concoct
herb_id_361,concoct_id_162,has_concoct,concoct
herb_id_363,concoct_id_124,has_concoct,concoct
herb_id_364,concoct_id_162,has_concoct,concoct
herb_id_368,concoct_id_120,has_concoct,concoct
herb_id_370,concoct_id_215,has_concoct,concoct
herb_id_371,concoct_id_218,has_concoct,concoct
herb_id_372,concoct_id_162,has_concoct,concoct
herb_id_374,concoct_id_230,has_concoct,concoct
herb_id_375,concoct_id_160,has_concoct,concoct
herb_id_377,concoct_id_215,has_concoct,concoct
herb_id_378,concoct_id_103,has_concoct,concoct
herb_id_380,concoct_id_34,has_concoct,concoct
herb_id_383,concoct_id_163,has_concoct,concoct
herb_id_385,concoct_id_231,has_concoct,concoct
herb_id_386,concoct_id_216,has_concoct,concoct
herb_id_388,concoct_id_208,has_concoct,concoct
herb_id_392,concoct_id_66,has_concoct,concoct
herb_id_393,concoct_id_75,has_concoct,concoct
herb_id_395,concoct_id_215,has_concoct,concoct
herb_id_399,concoct_id_162,has_concoct,concoct
herb_id_400,concoct_id_193,has_concoct,concoct
herb_id_401,concoct_id_149,has_concoct,concoct
herb_id_402,concoct_id_248,has_concoct,concoct
herb_id_404,concoct_id_157,has_concoct,concoct
herb_id_406,concoct_id_215,has_concoct,concoct
herb_id_414,concoct_id_178,has_concoct,concoct
herb_id_421,concoct_id_35,has_concoct,concoct
herb_id_426,concoct_id_159,has_concoct,concoct
herb_id_428,concoct_id_200,has_concoct,concoct
herb_id_429,concoct_id_175,has_concoct,concoct
herb_id_430,concoct_id_175,has_concoct,concoct
herb_id_431,concoct_id_203,has_concoct,concoct
herb_id_432,concoct_id_107,has_concoct,concoct
herb_id_434,concoct_id_229,has_concoct,concoct
herb_id_439,concoct_id_160,has_concoct,concoct
herb_id_442,concoct_id_231,has_concoct,concoct
herb_id_445,concoct_id_191,has_concoct,concoct
herb_id_449,concoct_id_215,has_concoct,concoct
herb_id_451,concoct_id_52,has_concoct,concoct
herb_id_452,concoct_id_106,has_concoct,concoct
herb_id_453,concoct_id_168,has_concoct,concoct
herb_id_455,concoct_id_203,has_concoct,concoct
herb_id_458,concoct_id_253,has_concoct,concoct
herb_id_459,concoct_id_202,has_concoct,concoct
herb_id_463,concoct_id_6,has_concoct,concoct
herb_id_469,concoct_id_160,has_concoct,concoct
herb_id_470,concoct_id_198,has_concoct,concoct
herb_id_471,concoct_id_94,has_concoct,concoct
herb_id_472,concoct_id_160,has_concoct,concoct
herb_id_475,concoct_id_268,has_concoct,concoct
herb_id_477,concoct_id_70,has_concoct,concoct
herb_id_478,concoct_id_121,has_concoct,concoct
herb_id_480,concoct_id_215,has_concoct,concoct
herb_id_481,concoct_id_160,has_concoct,concoct
herb_id_483,concoct_id_169,has_concoct,concoct
herb_id_487,concoct_id_252,has_concoct,concoct
herb_id_491,concoct_id_141,has_concoct,concoct
herb_id_492,concoct_id_256,has_concoct,concoct
herb_id_493,concoct_id_213,has_concoct,concoct
herb_id_498,concoct_id_269,has_concoct,concoct
herb_id_499,concoct_id_203,has_concoct,concoct
herb_id_501,concoct_id_53,has_concoct,concoct
herb_id_504,concoct_id_162,has_concoct,concoct
herb_id_505,concoct_id_141,has_concoct,concoct
herb_id_509,concoct_id_60,has_concoct,concoct
herb_id_513,concoct_id_243,has_concoct,concoct
herb_id_514,concoct_id_205,has_concoct,concoct
herb_id_522,concoct_id_100,has_concoct,concoct
herb_id_523,concoct_id_203,has_concoct,concoct
herb_id_526,concoct_id_217,has_concoct,concoct
herb_id_530,concoct_id_174,has_concoct,concoct
herb_id_531,concoct_id_198,has_concoct,concoct
herb_id_532,concoct_id_109,has_concoct,concoct
herb_id_535,concoct_id_160,has_concoct,concoct
herb_id_536,concoct_id_160,has_concoct,concoct
herb_id_538,concoct_id_160,has_concoct,concoct
herb_id_540,concoct_id_217,has_concoct,concoct
herb_id_542,concoct_id_203,has_concoct,concoct
herb_id_543,concoct_id_25,has_concoct,concoct
herb_id_545,concoct_id_105,has_concoct,concoct
herb_id_546,concoct_id_214,has_concoct,concoct
herb_id_552,concoct_id_145,has_concoct,concoct
herb_id_553,concoct_id_128,has_concoct,concoct
herb_id_554,concoct_id_279,has_concoct,concoct
herb_id_556,concoct_id_262,has_concoct,concoct
herb_id_558,concoct_id_179,has_concoct,concoct
herb_id_560,concoct_id_8,has_concoct,concoct
herb_id_561,concoct_id_41,has_concoct,concoct
herb_id_563,concoct_id_203,has_concoct,concoct
herb_id_566,concoct_id_186,has_concoct,concoct
herb_id_567,concoct_id_160,has_concoct,concoct
herb_id_568,concoct_id_90,has_concoct,concoct
herb_id_570,concoct_id_64,has_concoct,concoct
herb_id_572,concoct_id_91,has_concoct,concoct
herb_id_574,concoct_id_204,has_concoct,concoct
herb_id_575,concoct_id_26,has_concoct,concoct
herb_id_578,concoct_id_102,has_concoct,concoct
herb_id_582,concoct_id_254,has_concoct,concoct
herb_id_583,concoct_id_188,has_concoct,concoct
herb_id_587,concoct_id_160,has_concoct,concoct
herb_id_588,concoct_id_199,has_concoct,concoct
herb_id_590,concoct_id_37,has_concoct,concoct
herb_id_592,concoct_id_122,has_concoct,concoct
herb_id_593,concoct_id_69,has_concoct,concoct
herb_id_594,concoct_id_176,has_concoct,concoct
herb_id_596,concoct_id_124,has_concoct,concoct
herb_id_597,concoct_id_18,has_concoct,concoct
herb_id_598,concoct_id_57,has_concoct,concoct
herb_id_599,concoct_id_272,has_concoct,concoct
herb_id_603,concoct_id_54,has_concoct,concoct
herb_id_604,concoct_id_281,has_concoct,concoct
herb_id_605,concoct_id_29,has_concoct,concoct
herb_id_608,concoct_id_7,has_concoct,concoct
herb_id_610,concoct_id_96,has_concoct,concoct
herb_id_611,concoct_id_217,has_concoct,concoct
herb_id_612,concoct_id_189,has_concoct,concoct
herb_id_616,concoct_id_126,has_concoct,concoct
herb_id_623,concoct_id_251,has_concoct,concoct
herb_id_624,concoct_id_215,has_concoct,concoct
herb_id_625,concoct_id_127,has_concoct,concoct
herb_id_628,concoct_id_147,has_concoct,concoct
herb_id_629,concoct_id_182,has_concoct,concoct
herb_id_630,concoct_id_181,has_concoct,concoct
herb_id_632,concoct_id_123,has_concoct,concoct
herb_id_633,concoct_id_209,has_concoct,concoct
herb_id_634,concoct_id_232,has_concoct,concoct
herb_id_636,concoct_id_160,has_concoct,concoct
herb_id_637,concoct_id_184,has_concoct,concoct
herb_id_638,concoct_id_244,has_concoct,concoct
herb_id_641,concoct_id_198,has_concoct,concoct
herb_id_642,concoct_id_113,has_concoct,concoct
herb_id_644,concoct_id_275,has_concoct,concoct
herb_id_645,concoct_id_110,has_concoct,concoct
herb_id_646,concoct_id_180,has_concoct,concoct
herb_id_648,concoct_id_80,has_concoct,concoct
herb_id_649,concoct_id_231,has_concoct,concoct
herb_id_650,concoct_id_215,has_concoct,concoct
herb_id_651,concoct_id_222,has_concoct,concoct
herb_id_654,concoct_id_151,has_concoct,concoct
herb_id_655,concoct_id_118,has_concoct,concoct
herb_id_656,concoct_id_87,has_concoct,concoct
herb_id_660,concoct_id_261,has_concoct,concoct
herb_id_665,concoct_id_141,has_concoct,concoct
herb_id_666,concoct_id_44,has_concoct,concoct
herb_id_667,concoct_id_224,has_concoct,concoct
herb_id_668,concoct_id_160,has_concoct,concoct
herb_id_669,concoct_id_82,has_concoct,concoct
herb_id_670,concoct_id_155,has_concoct,concoct
herb_id_671,concoct_id_215,has_concoct,concoct
herb_id_672,concoct_id_183,has_concoct,concoct
herb_id_673,concoct_id_227,has_concoct,concoct
herb_id_681,concoct_id_147,has_concoct,concoct
herb_id_684,concoct_id_218,has_concoct,concoct
herb_id_686,concoct_id_33,has_concoct,concoct
herb_id_687,concoct_id_5,has_concoct,concoct
herb_id_689,concoct_id_47,has_concoct,concoct
